metal,vacBarrier
Ag,0.8737127135946139
Al,0.35844828033168596
Au,0.5121257858791068
Cu,0.9687723681286116
Fe,1.0145240340266355
Co,
Ni,0.8478302408407217
Ir,0.23909950437337102
Os,0.638628292188514
Pd,
Pt,0.5230319111797144
Re,1.0677261597757024
Rh,0.34014669760927063
Ru,0.7663884302992301
W,1.4627881332562538
Zn,0.0
