metal,termination,aquBarrier
Ag,111,0.8831774436475825
Al,111,0.02572876447015915
Au,111,0.665632271045979
Cu,111,0.9730133974885575
Fe,bcc,1.1855029349599135
Co,0001,1.334443551554159
Ni,111,0.9566909910431605
Ir,111,0.5520220791077008
Os,0001,0.724704444710369
Pd,111,0.8621908246741441
Pt,111,0.8832236442995054
Re,0001,1.1178156974729063
Rh,111,0.7018200851216534
Ru,0001,0.7679278993800835
W,bcc,1.4417666971530707
Zn,0001,0.2869171604729672
