metal,termination,aquBarrier
Ag,111,0.8661702776134916
Al,111,0.47136479314076496
Au,111,0.6360231515827763
Cu,111,0.980614312574744
Fe,bcc,1.2115832895069616
Co,0001,1.3355607159701322
Ni,111,0.9591564139682305
Ir,111,0.5571175959612447
Os,0001,0.7289019243889925
Pd,111,0.9490362928027025
Pt,111,0.7193427497477387
Re,0001,1.0857255287937733
Rh,111,0.6986308721516252
Ru,0001,0.7694362739612188
W,bcc,1.1770371215588966
Zn,0001,0.3663125408406813
