metal,termination,aquBarrier
Ag,111,0.8720253502560809
Al,111,
Au,111,0.6461230041695671
Cu,111,1.021140034254131
Fe,bcc,1.197905393493329
Co,0001,1.3100073394898573
Ni,111,0.9208176535180428
Ir,111,0.5335756598524313
Os,0001,0.7025453633414145
Pd,111,0.8743315918809458
Pt,111,0.752943479885289
Re,0001,1.0499038789785118
Rh,111,0.6787722523640696
Ru,0001,0.7572889594039225
W,bcc,1.4896536717897106
Zn,0001,0.594274057165876
