metal,termination,aquBarrier
Ag,111,0.8663461677260784
Al,111,0.4396414651184841
Au,111,0.6218415166113118
Cu,111,1.0154453986783665
Fe,bcc,1.172468829824993
Co,0001,1.283065978286686
Ni,111,0.9282690143436412
Ir,111,0.49609229156340007
Os,0001,0.6540933909036539
Pd,111,0.8740057082077328
Pt,111,0.6342996280218358
Re,0001,1.0504600383028446
Rh,111,0.5969215016839371
Ru,0001,0.7439734537101685
W,bcc,1.4314876182361331
Zn,0001,0.5623530939769807
