metal,termination,aquBarrier
Ag,111,0.8978640329542031
Al,111,0.4307081935771748
Au,111,0.6349479241034715
Cu,111,0.9285975362117824
Fe,bcc,1.0785438344660179
Co,0001,1.286042150627054
Ni,111,1.056164245362197
Ir,111,0.44817818177216395
Os,0001,0.6098843944037071
Pd,111,0.8729679120206129
Pt,111,0.6489391979575885
Re,0001,0.9644795618623903
Rh,111,0.5217911282843488
Ru,0001,0.6669083450624385
W,bcc,1.4194930285721057
Zn,0001,0.615991197774747
