Ag	-8.654	-178.638
Au	-8.025	-126.802
Cu	-6.837	-162.71
Ir	-1.611	-176.054
Ni	-2.246	-284.784
Pd	-3.181	-141.851
Pt	0.7611	-162.38
Rh	-4.04	-129.613
