
-2.00 7.000000000000e+00 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370799e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370786e-06
-2.00 7.500000000000e+00 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370799e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370786e-06
-2.00 8.000000000000e+00 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370799e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370786e-06
-2.00 8.500000000000e+00 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370799e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370786e-06
-2.00 9.000000000000e+00 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370799e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370786e-06
-2.00 9.500000000000e+00 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370799e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370786e-06
-2.00 1.000000000000e+01 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370799e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370786e-06
-2.00 1.050000000000e+01 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370800e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370786e-06
-2.00 1.100000000000e+01 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370800e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370786e-06
-2.00 1.150000000000e+01 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370800e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370787e-06
-2.00 1.200000000000e+01 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370802e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370788e-06
-2.00 1.250000000000e+01 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370806e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370793e-06
-2.00 1.300000000000e+01 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370822e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370808e-06
-2.00 1.350000000000e+01 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260370869e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260370856e-06
-2.00 1.400000000000e+01 -6.747260248107e-06 -6.133726352575e-14 9.999932527392e-01 6.747260371020e-06 -6.747260248094e-06 -6.133046485650e-14 9.999932527392e-01 6.747260371007e-06

-1.99 7.000000000000e+00 -6.508597347869e-06 -6.752312948141e-14 9.999934914021e-01 6.508597482933e-06 -6.508597347857e-06 -6.751660563198e-14 9.999934914021e-01 6.508597482920e-06
-1.99 7.500000000000e+00 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545111e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545098e-06
-1.99 8.000000000000e+00 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545111e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545098e-06
-1.99 8.500000000000e+00 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545111e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545098e-06
-1.99 9.000000000000e+00 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545111e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545098e-06
-1.99 9.500000000000e+00 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545111e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545098e-06
-1.99 1.000000000000e+01 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545111e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545098e-06
-1.99 1.050000000000e+01 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545111e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545098e-06
-1.99 1.100000000000e+01 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545111e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545098e-06
-1.99 1.150000000000e+01 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545112e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545099e-06
-1.99 1.200000000000e+01 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545114e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545101e-06
-1.99 1.250000000000e+01 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545121e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545107e-06
-1.99 1.300000000000e+01 -6.509769410112e-06 -6.749069859108e-14 9.999934902300e-01 6.509769545142e-06 -6.509769410100e-06 -6.748417339531e-14 9.999934902300e-01 6.509769545129e-06
