metal,PZC,vac_Htop,vac_HBE,i0,volmer,tafel,heyrovsky
Ag,3.74686,1.11355,0.589518,-8.47256821648078,1.1719974850301322,0.979293999999929,0.42764599999989167
Au,4.39119,0.830559,0.613606,-7.64606472766145,1.0691239999989632,0.7314300000003569,0.6463920000003565
Cu,3.81213,0.859023,0.206544,-7.21347480918082,1.0965085628741975,1.0673820000000815,0.8369999999999673
Ir,4.70924,-0.0898363,0.0267147,-1.21897863939859,0.6888164071854226,0.6043379999997269,1.3533040000000764
Ni,4.39851,0.41088,-0.171255,-3.94406589123372,0.8261260000001567,1.0407150000001066,1.223756999999956
Pd,4.45947,0.342286,-0.150335,-3.43354742555764,0.7798201796406794,0.9717579999998562,1.1438839999996853
Pt,5.11356,-0.0815594,-0.0882056,0.104896624386409,0.5791311377247326,0.8185159999995377,1.410851999999228
Rh,4.17753,0.212777,-0.0535726,-3.64768650972731,0.8513069461078816,0.7238159999997079,0.9836899999998207
